run,block,thread,state,uniques,visited,visited_percent,vts,total_visited
0,,,,,1.93387e+07,0.450264,250,63568498
1,,,,,3.36085e+07,0.782509,500,63570872
1,17,21,-787884137,1,3.36085e+07,0.782509,267,63570872
2,,,,,4.55013e+07,1.05941,750,63566855
3,,,,,5.69117e+07,1.32508,1000,63569804
4,,,,,6.78477e+07,1.5797,1250,63570467
5,,,,,7.79437e+07,1.81477,1500,63568844
6,,,,,8.71698e+07,2.02958,1750,63569165
7,,,,,9.64742e+07,2.24622,2000,63567967
8,,,,,1.05218e+08,2.4498,2250,63570815
9,,,,,1.14001e+08,2.65429,2500,63570256
10,,,,,1.22647e+08,2.8556,2750,63568292
11,,,,,1.30845e+08,3.04647,3000,63568622
12,,,,,1.38999e+08,3.23633,3250,63568384
13,,,,,1.46215e+08,3.40434,3500,63567548
14,,,,,1.53526e+08,3.57456,3750,63568025
15,,,,,1.6192e+08,3.76999,4000,63568903
16,,,,,1.69771e+08,3.95279,4250,63567114
16,228,19,142999217,2,1.69771e+08,3.95279,4228,63567114
17,,,,,1.76303e+08,4.10486,4500,63567038
18,,,,,1.83635e+08,4.27559,4750,63566377
19,,,,,1.90504e+08,4.43551,5000,63570876
20,,,,,1.96788e+08,4.58184,5250,63568641
21,,,,,2.033e+08,4.73344,5500,63567676
22,,,,,2.09384e+08,4.8751,5750,63565835
23,,,,,2.16184e+08,5.03343,6000,63566876
24,,,,,2.23433e+08,5.2022,6250,63568652
25,,,,,2.29477e+08,5.34293,6500,63568675
26,,,,,2.35274e+08,5.47789,6750,63567815
27,,,,,2.40349e+08,5.59606,7000,63569165
28,,,,,2.46375e+08,5.73636,7250,63566165
29,,,,,2.52539e+08,5.87989,7500,63568282
30,,,,,2.57809e+08,6.00259,7750,63569084
31,,,,,2.63952e+08,6.14561,8000,63565594
32,,,,,2.6996e+08,6.2855,8250,63567462
33,,,,,2.75807e+08,6.42164,8500,63570789
34,,,,,2.81088e+08,6.54459,8750,63567899
35,,,,,2.85448e+08,6.64611,9000,63567001
36,,,,,2.91058e+08,6.77671,9250,63569202
37,,,,,2.96123e+08,6.89465,9500,63568054
38,,,,,3.01163e+08,7.012,9750,63569131
39,,,,,3.067e+08,7.14091,10000,63568656
40,,,,,3.12789e+08,7.28269,10250,63565317
41,,,,,3.18403e+08,7.41339,10500,63566798
42,,,,,3.23557e+08,7.5334,10750,63571833
43,,,,,3.28439e+08,7.64706,11000,63569568
44,,,,,3.33367e+08,7.76181,11250,63565665
45,,,,,3.38035e+08,7.87048,11500,63568190
46,,,,,3.42288e+08,7.96951,11750,63569205
47,,,,,3.47297e+08,8.08614,12000,63568380
48,,,,,3.5206e+08,8.19704,12250,63569020
49,,,,,3.55667e+08,8.28103,12500,63570135
50,,,,,3.59845e+08,8.3783,12750,63567751
51,,,,,3.63843e+08,8.47139,13000,63567819
52,,,,,3.6922e+08,8.59657,13250,63565470
52,174,29,1686987859,3,3.6922e+08,8.59657,13174,63565470
53,,,,,3.73477e+08,8.69568,13500,63569085
53,30,7,1688262063,4,3.73477e+08,8.69568,13280,63569085
54,,,,,3.77458e+08,8.78837,13750,63567565
55,,,,,3.81607e+08,8.88497,14000,63571580
56,,,,,3.85437e+08,8.97415,14250,63570736
56,134,25,1076265871,5,3.85437e+08,8.97415,14134,63570736
57,,,,,3.91056e+08,9.10499,14500,63569227
58,,,,,3.95918e+08,9.21818,14750,63570940
59,,,,,3.997e+08,9.30623,15000,63564287
60,,,,,4.03346e+08,9.39114,15250,63573197
61,,,,,4.07374e+08,9.48493,15500,63568625
62,,,,,4.11617e+08,9.58371,15750,63569847
63,,,,,4.15919e+08,9.68388,16000,63567597
64,,,,,4.193e+08,9.76258,16250,63569130
65,,,,,4.22515e+08,9.83745,16500,63569829
66,,,,,4.26503e+08,9.93029,16750,63572856
66,234,1,1427832783,6,4.26503e+08,9.93029,16734,63572856
67,,,,,4.30885e+08,10.0323,17000,63573478
68,,,,,4.34424e+08,10.1147,17250,63564711
69,,,,,4.37403e+08,10.1841,17500,63566216
70,,,,,4.40861e+08,10.2646,17750,63567500
71,,,,,4.45026e+08,10.3616,18000,63570907
72,,,,,4.48703e+08,10.4472,18250,63568172
73,,,,,4.52242e+08,10.5296,18500,63566708
74,,,,,4.56193e+08,10.6216,18750,63565330
75,,,,,4.59698e+08,10.7032,19000,63570445
76,,,,,4.63694e+08,10.7962,19250,63568691
76,235,27,1619348239,7,4.63694e+08,10.7962,19235,63568691
77,,,,,4.67614e+08,10.8875,19500,63567988
78,,,,,4.71171e+08,10.9703,19750,63568532
78,169,4,1076265871,7,4.71171e+08,10.9703,19669,63568532
79,,,,,4.74347e+08,11.0443,20000,63568607
