run,block,thread,state,uniques,visited,visited_percent,vts,total_visited
0,,,,,256379,0.0059693,250,254201
1,,,,,428401,0.00997448,500,254255
2,,,,,584270,0.0136036,750,254293
3,,,,,720082,0.0167657,1000,254401
4,,,,,844370,0.0196595,1250,254391
5,,,,,965664,0.0224836,1500,254373
6,,,,,1.08815e+06,0.0253354,1750,254155
7,,,,,1.19533e+06,0.027831,2000,254254
8,,,,,1.30856e+06,0.0304674,2250,254415
9,,,,,1.44325e+06,0.0336034,2500,254156
10,,,,,1.57057e+06,0.0365676,2750,254281
11,,,,,1.69012e+06,0.0393512,3000,254323
12,,,,,1.79431e+06,0.041777,3250,253940
13,,,,,1.90825e+06,0.0444298,3500,254213
14,,,,,2.01014e+06,0.0468022,3750,254372
15,,,,,2.12349e+06,0.0494414,4000,254408
16,,,,,2.21529e+06,0.0515787,4250,254293
17,,,,,2.3208e+06,0.0540352,4500,254128
18,,,,,2.43608e+06,0.0567195,4750,254438
19,,,,,2.53395e+06,0.058998,5000,254428
20,,,,,2.63126e+06,0.0612638,5250,254463
21,,,,,2.72933e+06,0.0635473,5500,254238
22,,,,,2.83336e+06,0.0659692,5750,254369
23,,,,,2.94469e+06,0.0685614,6000,254224
24,,,,,3.05347e+06,0.0710942,6250,254209
25,,,,,3.14904e+06,0.0733194,6500,254237
26,,,,,3.23503e+06,0.0753214,6750,254322
27,,,,,3.34461e+06,0.0778728,7000,254276
28,,,,,3.44094e+06,0.0801156,7250,254281
29,,,,,3.5435e+06,0.0825036,7500,254344
30,,,,,3.62557e+06,0.0844145,7750,254389
31,,,,,3.70818e+06,0.0863379,8000,254248
32,,,,,3.78971e+06,0.0882361,8250,254282
33,,,,,3.87969e+06,0.090331,8500,254187
34,,,,,3.97358e+06,0.0925172,8750,254297
35,,,,,4.07371e+06,0.0948485,9000,254233
36,,,,,4.15925e+06,0.0968401,9250,254285
37,,,,,4.24236e+06,0.0987751,9500,254289
38,,,,,4.343e+06,0.101118,9750,254270
39,,,,,4.43874e+06,0.103347,10000,254357
40,,,,,4.5344e+06,0.105575,10250,254286
41,,,,,4.64201e+06,0.10808,10500,254301
42,,,,,4.73603e+06,0.110269,10750,254412
43,,,,,4.84888e+06,0.112897,11000,254134
44,,,,,4.92038e+06,0.114562,11250,254308
45,,,,,5.01956e+06,0.116871,11500,254312
46,,,,,5.11093e+06,0.118998,11750,254289
47,,,,,5.2071e+06,0.121237,12000,254280
48,,,,,5.29311e+06,0.12324,12250,254256
49,,,,,5.38145e+06,0.125297,12500,254182
50,,,,,5.46547e+06,0.127253,12750,254181
51,,,,,5.56014e+06,0.129457,13000,254350
52,,,,,5.63921e+06,0.131298,13250,254311
53,,,,,5.71563e+06,0.133077,13500,254192
54,,,,,5.81467e+06,0.135383,13750,254277
55,,,,,5.90293e+06,0.137438,14000,254361
56,,,,,5.98689e+06,0.139393,14250,254107
