run,block,thread,state,uniques,visited,visited_percent,vts,total_visited
0,,,,,2.66625e+08,6.20785,250,939389771
0,12,13,-1582071078,1,2.66625e+08,6.20785,12,939389771
0,25,12,-305828449,2,2.66625e+08,6.20785,25,939389771
0,102,3,1951362811,3,2.66625e+08,6.20785,102,939389771
0,96,3,-330827675,4,2.66625e+08,6.20785,96,939389771
0,148,0,-330928781,5,2.66625e+08,6.20785,148,939389771
0,156,24,-973302145,6,2.66625e+08,6.20785,156,939389771
0,178,19,177235009,7,2.66625e+08,6.20785,178,939389771
0,205,28,1200431791,8,2.66625e+08,6.20785,205,939389771
0,244,16,-1009488133,9,2.66625e+08,6.20785,244,939389771
0,215,23,1619348239,10,2.66625e+08,6.20785,215,939389771
1,,,,,4.56273e+08,10.6234,500,942527376
1,11,15,1619348239,10,4.56273e+08,10.6234,261,942527376
1,25,14,-1657803211,11,4.56273e+08,10.6234,275,942527376
1,14,3,1427832783,12,4.56273e+08,10.6234,264,942527376
1,45,22,1951362811,12,4.56273e+08,10.6234,295,942527376
1,45,12,-330928781,12,4.56273e+08,10.6234,295,942527376
1,133,27,844493943,13,4.56273e+08,10.6234,383,942527376
1,98,20,1688262063,14,4.56273e+08,10.6234,348,942527376
1,137,29,-298195237,15,4.56273e+08,10.6234,387,942527376
1,111,20,1427832783,15,4.56273e+08,10.6234,361,942527376
2,,,,,6.10549e+08,14.2155,750,957785074
2,9,22,177235009,15,6.10549e+08,14.2155,509,957785074
2,8,0,-298195237,15,6.10549e+08,14.2155,508,957785074
2,125,22,558531649,16,6.10549e+08,14.2155,625,957785074
2,110,26,177235009,16,6.10549e+08,14.2155,610,957785074
2,128,29,-787884137,17,6.10549e+08,14.2155,628,957785074
2,188,7,558531649,17,6.10549e+08,14.2155,688,957785074
2,224,8,1383812845,18,6.10549e+08,14.2155,724,957785074
3,,,,,7.41033e+08,17.2535,1000,949359128
3,48,0,-1986586248,19,7.41033e+08,17.2535,798,949359128
3,55,19,177235009,19,7.41033e+08,17.2535,805,949359128
3,71,17,1688262063,19,7.41033e+08,17.2535,821,949359128
3,186,22,1267931653,20,7.41033e+08,17.2535,936,949359128
3,183,17,177235009,20,7.41033e+08,17.2535,933,949359128
3,224,17,558531649,20,7.41033e+08,17.2535,974,949359128
4,,,,,8.51862e+08,19.834,1250,927138785
4,11,25,177235009,20,8.51862e+08,19.834,1011,927138785
4,89,7,3801864,21,8.51862e+08,19.834,1089,927138785
4,191,1,558531649,21,8.51862e+08,19.834,1191,927138785
4,180,21,177235009,21,8.51862e+08,19.834,1180,927138785
5,,,,,9.44129e+08,21.9822,1500,933155145
5,22,24,-330928781,21,9.44129e+08,21.9822,1272,933155145
5,138,31,558531649,21,9.44129e+08,21.9822,1388,933155145
5,140,30,-1168537298,22,9.44129e+08,21.9822,1390,933155145
5,211,23,142999217,23,9.44129e+08,21.9822,1461,933155145
5,230,17,1688262063,23,9.44129e+08,21.9822,1480,933155145
6,,,,,1.02669e+09,23.9044,1750,941967337
6,30,11,1794600435,24,1.02669e+09,23.9044,1530,941967337
6,87,16,1165889762,25,1.02669e+09,23.9044,1587,941967337
6,195,4,177235009,25,1.02669e+09,23.9044,1695,941967337
6,154,5,-975841995,26,1.02669e+09,23.9044,1654,941967337
6,207,19,1619348239,26,1.02669e+09,23.9044,1707,941967337
7,,,,,1.10144e+09,25.6449,2000,954590835
7,79,31,177235009,26,1.10144e+09,25.6449,1829,954590835
7,135,23,558531649,26,1.10144e+09,25.6449,1885,954590835
7,98,8,1688262063,26,1.10144e+09,25.6449,1848,954590835
7,118,27,1076265871,27,1.10144e+09,25.6449,1868,954590835
7,155,0,3801864,27,1.10144e+09,25.6449,1905,954590835
7,196,26,3801864,27,1.10144e+09,25.6449,1946,954590835
7,244,29,558531649,27,1.10144e+09,25.6449,1994,954590835
7,237,0,1076265871,27,1.10144e+09,25.6449,1987,954590835
8,,,,,1.17856e+09,27.4406,2250,941977822
8,45,22,-330928781,27,1.17856e+09,27.4406,2045,941977822
8,50,25,-1009488133,27,1.17856e+09,27.4406,2050,941977822
8,135,20,177235009,27,1.17856e+09,27.4406,2135,941977822
8,87,0,-787884137,27,1.17856e+09,27.4406,2087,941977822
8,99,11,-1895479827,28,1.17856e+09,27.4406,2099,941977822
8,152,7,-330827675,28,1.17856e+09,27.4406,2152,941977822
8,243,22,-973302145,28,1.17856e+09,27.4406,2243,941977822
9,,,,,1.24454e+09,28.9767,2500,956320279
9,21,4,-973302145,28,1.24454e+09,28.9767,2271,956320279
9,80,17,-265091042,29,1.24454e+09,28.9767,2330,956320279
9,94,15,558531649,29,1.24454e+09,28.9767,2344,956320279
9,174,19,-787884137,29,1.24454e+09,28.9767,2424,956320279
9,203,1,1688262063,29,1.24454e+09,28.9767,2453,956320279
9,237,16,1200431791,29,1.24454e+09,28.9767,2487,956320279
10,,,,,1.30287e+09,30.3347,2750,920529125
10,25,3,1794600435,29,1.30287e+09,30.3347,2525,920529125
10,71,7,3801864,29,1.30287e+09,30.3347,2571,920529125
10,59,31,1688262063,29,1.30287e+09,30.3347,2559,920529125
10,83,26,-973302145,29,1.30287e+09,30.3347,2583,920529125
10,129,7,-1009488133,29,1.30287e+09,30.3347,2629,920529125
10,98,23,1621471265,30,1.30287e+09,30.3347,2598,920529125
10,150,8,-721123533,31,1.30287e+09,30.3347,2650,920529125
10,217,16,-486440368,32,1.30287e+09,30.3347,2717,920529125
11,,,,,1.35687e+09,31.5921,3000,946681879
11,52,15,-330928781,32,1.35687e+09,31.5921,2802,946681879
11,153,15,177235009,32,1.35687e+09,31.5921,2903,946681879
11,155,13,177235009,32,1.35687e+09,31.5921,2905,946681879
12,,,,,1.40463e+09,32.7042,3250,947544629
12,174,6,177235009,32,1.40463e+09,32.7042,3174,947544629
12,179,27,1383812845,32,1.40463e+09,32.7042,3179,947544629
12,221,17,558531649,32,1.40463e+09,32.7042,3221,947544629
12,246,17,1686987859,33,1.40463e+09,32.7042,3246,947544629
13,,,,,1.45631e+09,33.9074,3500,944571311
13,34,14,-1657803211,33,1.45631e+09,33.9074,3284,944571311
13,38,31,-973302145,33,1.45631e+09,33.9074,3288,944571311
13,12,20,558531649,33,1.45631e+09,33.9074,3262,944571311
13,37,5,-796893842,34,1.45631e+09,33.9074,3287,944571311
13,85,7,-973302145,34,1.45631e+09,33.9074,3335,944571311
13,91,2,-305828449,34,1.45631e+09,33.9074,3341,944571311
13,100,23,177235009,34,1.45631e+09,33.9074,3350,944571311
13,111,25,-153254338,35,1.45631e+09,33.9074,3361,944571311
13,165,9,558531649,35,1.45631e+09,33.9074,3415,944571311
13,174,4,558531649,35,1.45631e+09,33.9074,3424,944571311
14,,,,,1.50548e+09,35.0522,3750,952420488
14,26,27,1686987859,35,1.50548e+09,35.0522,3526,952420488
14,59,0,1621471265,35,1.50548e+09,35.0522,3559,952420488
14,187,20,-330928781,35,1.50548e+09,35.0522,3687,952420488
14,233,0,558531649,35,1.50548e+09,35.0522,3733,952420488
15,,,,,1.54619e+09,36.0001,4000,938307710
15,64,29,142999217,35,1.54619e+09,36.0001,3814,938307710
15,60,1,1852558397,36,1.54619e+09,36.0001,3810,938307710
15,58,20,558531649,36,1.54619e+09,36.0001,3808,938307710
15,103,7,-973302145,36,1.54619e+09,36.0001,3853,938307710
15,127,10,-787884137,36,1.54619e+09,36.0001,3877,938307710
15,139,6,-1157809220,37,1.54619e+09,36.0001,3889,938307710
15,230,7,1688262063,37,1.54619e+09,36.0001,3980,938307710
16,,,,,1.58539e+09,36.9127,4250,920316001
16,60,16,1076265871,37,1.58539e+09,36.9127,4060,920316001
16,63,6,1951362811,37,1.58539e+09,36.9127,4063,920316001
16,9,30,1619348239,37,1.58539e+09,36.9127,4009,920316001
16,75,5,1951362811,37,1.58539e+09,36.9127,4075,920316001
16,189,20,-298195237,37,1.58539e+09,36.9127,4189,920316001
16,163,20,-1895479827,37,1.58539e+09,36.9127,4163,920316001
17,,,,,1.62731e+09,37.8887,4500,935687238
17,2,0,1619348239,37,1.62731e+09,37.8887,4252,935687238
17,43,22,1686987859,37,1.62731e+09,37.8887,4293,935687238
17,35,21,558531649,37,1.62731e+09,37.8887,4285,935687238
17,78,29,-486440368,37,1.62731e+09,37.8887,4328,935687238
17,140,29,-1895479827,37,1.62731e+09,37.8887,4390,935687238
17,80,10,1146941867,38,1.62731e+09,37.8887,4330,935687238
17,176,16,558531649,38,1.62731e+09,37.8887,4426,935687238
17,184,29,1688262063,38,1.62731e+09,37.8887,4434,935687238
17,210,21,177235009,38,1.62731e+09,37.8887,4460,935687238
18,,,,,1.66471e+09,38.7596,4750,960332854
18,26,21,1688262063,38,1.66471e+09,38.7596,4526,960332854
18,82,3,1076265871,38,1.66471e+09,38.7596,4582,960332854
18,113,4,1686987859,38,1.66471e+09,38.7596,4613,960332854
18,91,15,-1657803211,38,1.66471e+09,38.7596,4591,960332854
18,76,24,-535171611,39,1.66471e+09,38.7596,4576,960332854
18,99,6,1621471265,39,1.66471e+09,38.7596,4599,960332854
18,149,30,558531649,39,1.66471e+09,38.7596,4649,960332854
19,,,,,1.69989e+09,39.5787,5000,948621567
19,8,21,-787884137,39,1.69989e+09,39.5787,4758,948621567
19,59,3,844493943,39,1.69989e+09,39.5787,4809,948621567
19,100,31,-305828449,39,1.69989e+09,39.5787,4850,948621567
19,190,21,558531649,39,1.69989e+09,39.5787,4940,948621567
20,,,,,1.73157e+09,40.3162,5250,961098256
20,54,14,-787884137,39,1.73157e+09,40.3162,5054,961098256
20,22,26,558531649,39,1.73157e+09,40.3162,5022,961098256
20,12,23,-298195237,39,1.73157e+09,40.3162,5012,961098256
20,55,17,1621471265,39,1.73157e+09,40.3162,5055,961098256
20,57,13,-787884137,39,1.73157e+09,40.3162,5057,961098256
20,40,23,343263341,40,1.73157e+09,40.3162,5040,961098256
20,127,12,177235009,40,1.73157e+09,40.3162,5127,961098256
20,101,10,343263341,40,1.73157e+09,40.3162,5101,961098256
20,90,21,1688262063,40,1.73157e+09,40.3162,5090,961098256
20,189,13,-1223390847,41,1.73157e+09,40.3162,5189,961098256
20,209,4,-973302145,41,1.73157e+09,40.3162,5209,961098256
20,207,1,1383812845,41,1.73157e+09,40.3162,5207,961098256
20,229,29,1794600435,41,1.73157e+09,40.3162,5229,961098256
21,,,,,1.7608e+09,40.9969,5500,942164487
21,28,8,-721123533,41,1.7608e+09,40.9969,5278,942164487
21,11,30,177235009,41,1.7608e+09,40.9969,5261,942164487
21,82,31,-1009488133,41,1.7608e+09,40.9969,5332,942164487
21,110,23,1621471265,41,1.7608e+09,40.9969,5360,942164487
21,87,0,-787884137,41,1.7608e+09,40.9969,5337,942164487
21,107,0,177235009,41,1.7608e+09,40.9969,5357,942164487
21,98,2,-1226148451,42,1.7608e+09,40.9969,5348,942164487
21,149,13,1951362811,42,1.7608e+09,40.9969,5399,942164487
21,226,22,558531649,42,1.7608e+09,40.9969,5476,942164487
22,,,,,1.78941e+09,41.6629,5750,949627042
22,53,31,558531649,42,1.78941e+09,41.6629,5553,949627042
22,91,28,1794600435,42,1.78941e+09,41.6629,5591,949627042
22,123,24,3801864,42,1.78941e+09,41.6629,5623,949627042
22,234,30,558531649,42,1.78941e+09,41.6629,5734,949627042
23,,,,,1.81965e+09,42.367,6000,931676283
23,17,5,558531649,42,1.81965e+09,42.367,5767,931676283
23,40,16,558531649,42,1.81965e+09,42.367,5790,931676283
23,83,4,-1906136628,43,1.81965e+09,42.367,5833,931676283
23,209,20,-486440368,43,1.81965e+09,42.367,5959,931676283
23,178,22,-360759171,44,1.81965e+09,42.367,5928,931676283
23,247,25,-973302145,44,1.81965e+09,42.367,5997,931676283
24,,,,,1.84867e+09,43.0428,6250,945686845
24,23,2,558531649,44,1.84867e+09,43.0428,6023,945686845
24,64,28,558531649,44,1.84867e+09,43.0428,6064,945686845
24,16,18,177235009,44,1.84867e+09,43.0428,6016,945686845
24,69,23,177235009,44,1.84867e+09,43.0428,6069,945686845
24,108,29,177235009,44,1.84867e+09,43.0428,6108,945686845
24,91,10,1686987859,44,1.84867e+09,43.0428,6091,945686845
