run,block,thread,state,uniques,visited,visited_percent,vts,total_visited
0,,,,,536054,100.868,250,51628961
1,,,,,536585,100.968,500,51627548
2,,,,,536585,100.968,750,51624312
3,,,,,536678,100.986,1000,51616175
4,,,,,536829,101.014,1250,51627212
5,,,,,536829,101.014,1500,51630309
6,,,,,536829,101.014,1750,51630080
7,,,,,536829,101.014,2000,51617760
8,,,,,536829,101.014,2250,51622219
9,,,,,536870,101.022,2500,51619218
10,,,,,536870,101.022,2750,51628290
11,,,,,536870,101.022,3000,51630345
12,,,,,536940,101.035,3250,51627270
13,,,,,536940,101.035,3500,51631673
14,,,,,536951,101.037,3750,51617625
15,,,,,536951,101.037,4000,51621093
16,,,,,536951,101.037,4250,51631877
17,,,,,536956,101.038,4500,51625956
18,,,,,536956,101.038,4750,51622448
19,,,,,536956,101.038,5000,51635881
20,,,,,536956,101.038,5250,51629574
21,,,,,536956,101.038,5500,51630299
22,,,,,536956,101.038,5750,51630783
23,,,,,536956,101.038,6000,51621989
24,,,,,536956,101.038,6250,51620610
25,,,,,536996,101.046,6500,51634701
26,,,,,536996,101.046,6750,51623787
27,,,,,536996,101.046,7000,51621888
28,,,,,536996,101.046,7250,51629920
29,,,,,536996,101.046,7500,51625180
30,,,,,536996,101.046,7750,51626716
31,,,,,536996,101.046,8000,51634704
32,,,,,537087,101.063,8250,51622547
33,,,,,537127,101.07,8500,51626950
34,,,,,537127,101.07,8750,51636848
35,,,,,537168,101.078,9000,51628011
36,,,,,537168,101.078,9250,51631017
37,,,,,537168,101.078,9500,51625723
38,,,,,537168,101.078,9750,51632729
39,,,,,537168,101.078,10000,51624534
40,,,,,537168,101.078,10250,51634405
41,,,,,537168,101.078,10500,51630858
42,,,,,537168,101.078,10750,51622063
43,,,,,537168,101.078,11000,51634924
44,,,,,537168,101.078,11250,51628263
45,,,,,537168,101.078,11500,51629931
46,,,,,537168,101.078,11750,51633202
47,,,,,537168,101.078,12000,51631960
48,,,,,537168,101.078,12250,51623596
49,,,,,537168,101.078,12500,51628226
50,,,,,537168,101.078,12750,51622381
51,,,,,537168,101.078,13000,51634390
52,,,,,537168,101.078,13250,51618407
53,,,,,537168,101.078,13500,51627817
54,,,,,537168,101.078,13750,51617858
55,,,,,537168,101.078,14000,51628821
56,,,,,537168,101.078,14250,51626970
57,,,,,537168,101.078,14500,51625786
58,,,,,537168,101.078,14750,51629180
59,,,,,537168,101.078,15000,51619761
60,,,,,537168,101.078,15250,51613517
61,,,,,537168,101.078,15500,51636834
62,,,,,537168,101.078,15750,51632679
63,,,,,537168,101.078,16000,51626827
64,,,,,537168,101.078,16250,51624530
65,,,,,537168,101.078,16500,51625430
66,,,,,537168,101.078,16750,51617911
67,,,,,537168,101.078,17000,51627899
68,,,,,537168,101.078,17250,51628568
69,,,,,537168,101.078,17500,51626618
70,,,,,537168,101.078,17750,51622681
71,,,,,537168,101.078,18000,51620710
72,,,,,537168,101.078,18250,51632500
73,,,,,537168,101.078,18500,51644349
74,,,,,537168,101.078,18750,51627617
75,,,,,537168,101.078,19000,51630112
76,,,,,537168,101.078,19250,51610102
77,,,,,537168,101.078,19500,51627063
78,,,,,537168,101.078,19750,51620930
79,,,,,537168,101.078,20000,51628409
80,,,,,537168,101.078,20250,51619694
81,,,,,537168,101.078,20500,51629654
82,,,,,537168,101.078,20750,51625372
83,,,,,537168,101.078,21000,51626430
84,,,,,537168,101.078,21250,51621338
85,,,,,537168,101.078,21500,51638470
86,,,,,537168,101.078,21750,51624240
87,,,,,537168,101.078,22000,51626083
88,,,,,537168,101.078,22250,51623377
89,,,,,537168,101.078,22500,51635626
90,,,,,537168,101.078,22750,51634509
91,,,,,537168,101.078,23000,51628349
92,,,,,537168,101.078,23250,51613500
93,,,,,537168,101.078,23500,51633436
94,,,,,537168,101.078,23750,51630480
95,,,,,537168,101.078,24000,51622268
96,,,,,537168,101.078,24250,51626758
97,,,,,537168,101.078,24500,51625393
98,,,,,537168,101.078,24750,51626753
99,,,,,537168,101.078,25000,51625655
