round,visited,failed
0, 6, 0
1, 15, 10
2, 35, 40
3, 70, 105
4, 125, 225
5, 213, 412
6, 377, 688
7, 687, 1198
8, 1230, 2205
9, 2104, 4046
10, 3368, 7152
11, 5115, 11600
12, 6705, 13765
13, 7166, 13314
14, 7498, 12982
15, 7614, 12866
16, 7509, 12971
17, 7537, 12943
18, 7438, 13042
19, 7214, 13266
20, 7053, 13427
21, 6842, 13638
22, 7014, 13466
23, 6661, 13819
24, 6476, 14004
25, 6431, 14049
26, 6238, 14242
27, 6032, 14448
28, 5942, 14538
29, 5836, 14644
30, 5503, 14977
31, 5291, 15189
32, 5107, 15373
33, 4969, 15486
34, 4748, 15732
35, 4413, 15987
36, 4206, 16149
37, 4002, 15948
38, 3732, 15608
39, 3371, 15134
40, 2923, 13932
41, 2515, 12100
42, 2168, 10407
43, 1852, 8988
44, 1472, 7788
45, 1158, 6202
46, 872, 4918
47, 656, 3704
48, 496, 2784
49, 375, 2105
50, 254, 1621
51, 202, 1068
52, 146, 864
53, 106, 624
54, 85, 445
55, 66, 359
56, 54, 276
57, 33, 237
58, 27, 138
59, 20, 115
60, 13, 87
61, 9, 56
62, 4, 41
63, 4, 16
64, 1, 19
65, 1, 4
66, 0, 5
