round,ncs,p1,p2,p3,cs
0,0,3,0,0,0
1,0,6,3,0,0
2,0,9,9,3,0
3,0,10,20,0,3
4,1,9,18,6,3
5,0,8,11,4,10
6,0,9,11,3,4
7,2,8,12,3,2
8,1,12,23,0,3
9,3,7,31,7,3
10,0,14,25,1,11
11,2,14,19,6,10
12,5,18,25,9,6
13,4,24,38,17,9
14,9,31,68,22,12
15,17,35,52,32,19
16,24,34,67,5,24
17,31,38,67,33,13
18,10,56,86,42,36
19,27,62,98,57,41
20,39,78,92,52,39
21,53,79,89,26,52
22,49,81,126,53,36
23,32,115,141,43,78
24,51,122,147,73,76
25,48,153,123,80,114
26,79,172,155,39,137
27,123,161,223,63,107
28,49,215,249,100,177
29,86,211,292,96,190
30,110,189,305,97,207
31,125,233,268,90,227
32,142,229,319,87,198
33,96,208,353,166,213
34,77,229,316,147,285
35,157,198,333,165,251
36,136,295,305,139,276
37,186,272,389,133,245
38,99,277,440,188,278
39,103,241,439,222,317
40,159,254,381,269,270
41,149,290,363,205,328
42,219,281,390,181,265
43,119,308,419,225,269
44,81,228,438,262,320
45,141,224,391,273,286
46,160,252,368,219,319
47,178,254,397,200,275
48,138,233,456,267,289
49,103,251,414,255,348
50,151,271,361,265,309
51,174,277,344,220,306
52,195,305,390,202,302
53,152,254,454,253,325
54,83,252,390,254,381
55,154,194,340,270,364
56,145,246,290,239,343
57,179,246,278,154,336
58,144,222,349,181,259
59,66,229,311,221,314
60,135,152,317,194,323
61,127,210,248,163,280
62,145,220,245,132,253
63,85,195,321,146,234
64,53,168,276,152,246
65,98,134,249,147,221
66,86,183,203,123,200
67,113,170,237,119,183
68,99,171,296,133,172
69,70,215,268,153,194
70,90,154,282,162,208
71,106,206,249,153,217
72,134,223,267,135,204
73,116,249,316,133,222
74,105,249,334,175,228
75,106,242,337,182,239
76,118,234,324,183,246
77,149,275,335,141,235
78,139,265,367,152,212
79,107,276,358,169,253
80,141,269,365,177,216
81,122,271,370,173,243
82,128,276,378,189,234
83,134,241,350,239,234
84,115,266,328,235,258
85,132,233,346,210,267
86,136,254,305,218,274
87,129,254,329,174,252
88,144,229,309,194,233
89,117,264,314,182,259
90,135,216,316,212,249
91,143,237,276,172,274
92,165,248,300,191,223
93,137,263,312,200,238
94,145,245,306,164,245
95,133,235,337,165,221
96,115,221,319,194,255
97,125,219,310,190,240
98,141,224,300,185,243
99,122,202,345,160,252
100,112,206,287,192,226
101,87,203,273,204,226
102,150,186,278,141,226
103,109,176,261,187,220
104,106,186,266,165,199
105,105,159,259,155,189
106,92,173,244,147,195
107,102,159,202,146,205
108,115,178,247,104,175
109,120,160,226,109,172
110,94,168,224,115,143
111,68,155,207,92,161
112,80,134,195,97,128
113,78,127,178,102,111
114,58,119,168,105,120
115,48,120,151,96,121
116,59,104,136,81,114
117,51,104,129,85,104
118,57,89,137,82,94
119,63,88,124,78,87
120,42,95,119,72,98
121,42,72,114,76,102
122,48,84,100,70,86
123,65,73,105,63,68
124,39,87,96,51,87
125,34,78,111,48,72
126,36,71,84,55,66
127,32,63,82,56,69
128,38,57,83,44,74
129,50,48,85,50,73
130,33,55,73,53,69
131,28,62,82,53,66
132,26,56,82,44,70
133,36,64,75,50,65
134,39,59,80,42,73
135,24,64,73,56,54
136,19,49,83,34,77
137,43,42,66,52,54
138,41,55,55,37,63
139,29,63,58,38,55
140,27,56,71,37,53
141,26,50,70,44,54
142,28,49,72,40,63
143,37,54,71,36,66
144,39,56,73,39,59
145,28,51,71,39,56
146,23,51,63,48,63
147,34,46,74,38,47
148,37,52,69,37,55
149,28,49,56,30,41
150,20,42,52,42,46
151,19,45,64,35,46
152,24,37,60,41,46
153,32,34,49,22,41
154,23,43,43,27,38
155,20,38,50,25,39
156,12,39,48,30,34
157,24,33,44,24,33
158,30,33,48,21,28
159,16,38,42,27,29
160,14,26,42,31,30
161,10,27,40,26,32
162,16,26,42,23,23
163,23,35,32,18,28
164,19,30,36,19,46
165,19,31,37,17,24
166,14,35,50,26,24
167,19,27,48,19,38
168,32,40,49,21,28
169,19,39,57,23,35
170,18,32,65,28,33
171,20,37,43,30,34
172,21,38,50,27,38
173,24,39,42,29,41
174,21,38,49,32,41
175,23,41,42,25,40
176,14,30,54,27,45
177,19,31,42,25,41
178,25,33,42,24,38
179,21,37,34,22,37
180,17,29,44,36,39
181,14,41,42,29,41
182,15,29,42,19,44
183,29,35,42,14,31
184,11,34,44,23,27
185,13,31,37,36,27
186,12,25,39,26,35
187,23,30,34,22,25
188,26,27,34,21,28
189,12,33,41,23,36
190,20,37,36,27,32
191,19,29,42,19,29
192,16,33,45,22,32
193,22,31,41,23,24
194,17,33,30,14,32
195,13,30,32,21,25
196,14,27,42,25,24
197,12,23,37,24,35
198,23,29,39,14,25
199,15,25,38,16,26
200,11,29,29,21,22
201,8,20,37,18,29
202,17,24,21,25,27
203,20,22,31,17,19
204,13,23,29,17,21
205,9,19,39,15,14
206,8,12,31,24,13
207,8,20,24,7,25
208,15,14,24,10,18
209,18,15,17,11,10
210,2,14,21,15,13
211,6,10,25,7,12
212,12,5,13,9,7
