run,block,thread,state,uniques,visited,visited_percent,vts,total_visited
0,,,,,2.78876e+06,0.064931,250,49302435
1,,,,,3.08342e+06,0.0717915,500,49382834
2,,,,,3.2182e+06,0.0749295,750,49351172
3,,,,,3.30007e+06,0.0768357,1000,49337869
4,,,,,3.36656e+06,0.0783838,1250,49336030
5,,,,,3.41767e+06,0.0795738,1500,49303843
6,,,,,3.45433e+06,0.0804274,1750,49315717
7,,,,,3.4931e+06,0.08133,2000,49354611
8,,,,,3.52547e+06,0.0820837,2250,49333150
9,,,,,3.54935e+06,0.0826397,2500,49343544
10,,,,,3.56795e+06,0.0830728,2750,49340789
11,,,,,3.58874e+06,0.0835569,3000,49358876
12,,,,,3.60754e+06,0.0839946,3250,49346651
13,,,,,3.62245e+06,0.0843417,3500,49343480
14,,,,,3.6407e+06,0.0847666,3750,49346021
15,,,,,3.65161e+06,0.0850206,4000,49342725
16,,,,,3.65947e+06,0.0852036,4250,49359139
17,,,,,3.66699e+06,0.0853788,4500,49317388
18,,,,,3.67833e+06,0.0856427,4750,49372227
19,,,,,3.68733e+06,0.0858524,5000,49349996
20,,,,,3.69367e+06,0.086,5250,49347256
21,,,,,3.69961e+06,0.0861383,5500,49339791
22,,,,,3.70559e+06,0.0862775,5750,49306595
23,,,,,3.71061e+06,0.0863943,6000,49303275
24,,,,,3.71717e+06,0.0865472,6250,49323236
25,,,,,3.72281e+06,0.0866784,6500,49312765
26,,,,,3.73089e+06,0.0868666,6750,49362115
27,,,,,3.73379e+06,0.0869341,7000,49309304
28,,,,,3.73692e+06,0.087007,7250,49312467
29,,,,,3.74172e+06,0.0871186,7500,49355538
30,,,,,3.74924e+06,0.0872937,7750,49372881
31,,,,,3.75281e+06,0.0873769,8000,49308878
32,,,,,3.75512e+06,0.0874307,8250,49313654
33,,,,,3.75803e+06,0.0874985,8500,49344217
34,,,,,3.76136e+06,0.0875761,8750,49349792
35,,,,,3.76745e+06,0.0877177,9000,49342527
36,,,,,3.77057e+06,0.0877904,9250,49362950
37,,,,,3.77259e+06,0.0878376,9500,49329107
38,,,,,3.77606e+06,0.0879183,9750,49335637
39,,,,,3.77843e+06,0.0879733,10000,49350597
40,,,,,3.78165e+06,0.0880483,10250,49343570
41,,,,,3.7843e+06,0.0881101,10500,49327762
42,,,,,3.78997e+06,0.0882422,10750,49335768
43,,,,,3.797e+06,0.0884057,11000,49369549
44,,,,,3.80115e+06,0.0885023,11250,49343709
45,,,,,3.80391e+06,0.0885667,11500,49331349
46,,,,,3.8087e+06,0.0886781,11750,49332507
47,,,,,3.81023e+06,0.0887138,12000,49369101
48,,,,,3.81416e+06,0.0888054,12250,49346569
49,,,,,3.81539e+06,0.088834,12500,49342828
50,,,,,3.81954e+06,0.0889306,12750,49317848
51,,,,,3.82286e+06,0.0890078,13000,49318577
52,,,,,3.82431e+06,0.0890417,13250,49346137
53,,,,,3.82501e+06,0.089058,13500,49347562
54,,,,,3.82791e+06,0.0891254,13750,49352684
55,,,,,3.8302e+06,0.0891788,14000,49351144
56,,,,,3.83264e+06,0.0892355,14250,49345121
57,,,,,3.83492e+06,0.0892886,14500,49336558
58,,,,,3.83601e+06,0.0893141,14750,49347676
59,,,,,3.83764e+06,0.0893521,15000,49292565
60,,,,,3.84012e+06,0.0894097,15250,49324036
61,,,,,3.84507e+06,0.089525,15500,49385347
62,,,,,3.84996e+06,0.0896388,15750,49345394
63,,,,,3.8519e+06,0.0896841,16000,49326264
64,,,,,3.85338e+06,0.0897184,16250,49363382
65,,,,,3.85656e+06,0.0897926,16500,49359235
66,,,,,3.85891e+06,0.0898472,16750,49342304
67,,,,,3.86175e+06,0.0899133,17000,49370816
68,,,,,3.86309e+06,0.0899446,17250,49346280
69,,,,,3.86625e+06,0.0900181,17500,49330439
70,,,,,3.869e+06,0.0900822,17750,49359605
71,,,,,3.87106e+06,0.0901301,18000,49309560
72,,,,,3.873e+06,0.0901752,18250,49331253
73,,,,,3.87466e+06,0.090214,18500,49320898
74,,,,,3.8751e+06,0.0902241,18750,49407397
75,,,,,3.87712e+06,0.0902713,19000,49305632
76,,,,,3.87868e+06,0.0903075,19250,49354236
77,,,,,3.87974e+06,0.0903323,19500,49336620
78,,,,,3.88155e+06,0.0903743,19750,49342069
79,,,,,3.88499e+06,0.0904544,20000,49354958
80,,,,,3.88693e+06,0.0904996,20250,49319820
81,,,,,3.88926e+06,0.090554,20500,49373586
82,,,,,3.89037e+06,0.0905798,20750,49343257
83,,,,,3.89086e+06,0.0905911,21000,49329573
84,,,,,3.89128e+06,0.0906009,21250,49347673
85,,,,,3.89458e+06,0.0906777,21500,49374996
86,,,,,3.8958e+06,0.0907063,21750,49343999
87,,,,,3.89648e+06,0.0907221,22000,49332416
88,,,,,3.89821e+06,0.0907622,22250,49316960
89,,,,,3.89899e+06,0.0907805,22500,49336547
90,,,,,3.9008e+06,0.0908227,22750,49325041
91,,,,,3.90344e+06,0.0908839,23000,49372573
92,,,,,3.90578e+06,0.0909385,23250,49338400
93,,,,,3.9072e+06,0.0909717,23500,49368584
94,,,,,3.90921e+06,0.0910183,23750,49348533
95,,,,,3.91067e+06,0.0910524,24000,49337000
96,,,,,3.91175e+06,0.0910776,24250,49347596
97,,,,,3.91303e+06,0.0911073,24500,49313664
98,,,,,3.91424e+06,0.0911356,24750,49372783
99,,,,,3.91517e+06,0.0911572,25000,49327308
100,,,,,3.91536e+06,0.0911617,25250,49341090
101,,,,,3.91718e+06,0.091204,25500,49333378
