run,block,thread,state,uniques,visited,visited_percent,vts,total_visited
0,,,,,616844,0.014362,250,30967593
1,,,,,687128,0.0159984,500,30953802
2,,,,,735738,0.0171302,750,31031664
3,,,,,765516,0.0178236,1000,30971809
4,,,,,786906,0.0183216,1250,30962517
5,,,,,811625,0.0188971,1500,30991607
6,,,,,823682,0.0191778,1750,30935182
7,,,,,836931,0.0194863,2000,30905428
8,,,,,845067,0.0196758,2250,30856717
9,,,,,858177,0.019981,2500,30996815
10,,,,,866543,0.0201758,2750,30977739
11,,,,,872660,0.0203182,3000,30946778
12,,,,,881930,0.020534,3250,31012767
13,,,,,891905,0.0207663,3500,30988884
14,,,,,898038,0.0209091,3750,30945701
15,,,,,903426,0.0210345,4000,30922655
16,,,,,907723,0.0211346,4250,30942695
17,,,,,915141,0.0213073,4500,30918784
18,,,,,920007,0.0214206,4750,30954495
19,,,,,924826,0.0215328,5000,30898747
20,,,,,930568,0.0216665,5250,30942843
21,,,,,935518,0.0217817,5500,30996045
22,,,,,941353,0.0219176,5750,30943016
23,,,,,944510,0.0219911,6000,30968572
24,,,,,947623,0.0220636,6250,30941798
25,,,,,950071,0.0221206,6500,30940771
26,,,,,952759,0.0221831,6750,30956586
27,,,,,957681,0.0222977,7000,30971522
28,,,,,961249,0.0223808,7250,30950728
29,,,,,963978,0.0224444,7500,30951246
30,,,,,967051,0.0225159,7750,30948349
31,,,,,970996,0.0226078,8000,30953847
32,,,,,972935,0.0226529,8250,30922325
33,,,,,974777,0.0226958,8500,30960986
34,,,,,977061,0.022749,8750,31014952
35,,,,,980642,0.0228324,9000,30946381
36,,,,,982647,0.022879,9250,30932320
37,,,,,985013,0.0229341,9500,31030549
38,,,,,986448,0.0229675,9750,30964292
39,,,,,988943,0.0230256,10000,30957379
40,,,,,990672,0.0230659,10250,30906922
41,,,,,992695,0.023113,10500,30936358
42,,,,,993813,0.023139,10750,30936123
43,,,,,996240,0.0231955,11000,30959904
44,,,,,1.00007e+06,0.0232847,11250,30959427
45,,,,,1.00239e+06,0.0233387,11500,30930695
46,,,,,1.00471e+06,0.0233926,11750,30912863
47,,,,,1.00649e+06,0.0234343,12000,30916549
48,,,,,1.00955e+06,0.0235053,12250,30969115
49,,,,,1.01228e+06,0.0235691,12500,30963352
50,,,,,1.01521e+06,0.0236372,12750,30975365
51,,,,,1.017e+06,0.0236789,13000,30942003
52,,,,,1.01829e+06,0.0237089,13250,31006172
53,,,,,1.01907e+06,0.023727,13500,30932964
54,,,,,1.0201e+06,0.023751,13750,30951372
55,,,,,1.02123e+06,0.0237774,14000,30942243
56,,,,,1.02229e+06,0.023802,14250,30995959
57,,,,,1.02302e+06,0.023819,14500,30933643
58,,,,,1.02432e+06,0.0238493,14750,30976412
59,,,,,1.02683e+06,0.0239078,15000,30977509
60,,,,,1.02824e+06,0.0239406,15250,30959123
61,,,,,1.03044e+06,0.0239919,15500,30906830
62,,,,,1.03203e+06,0.0240287,15750,30960880
63,,,,,1.03361e+06,0.0240655,16000,30966134
64,,,,,1.03484e+06,0.0240942,16250,30922167
65,,,,,1.03717e+06,0.0241484,16500,31018806
66,,,,,1.0389e+06,0.0241889,16750,30869290
67,,,,,1.03994e+06,0.0242131,17000,30921677
68,,,,,1.04083e+06,0.0242336,17250,30981067
69,,,,,1.04156e+06,0.0242507,17500,30966902
